x	Green
716.62	7
716.94	9
717.27	10
717.59	10
717.91	11
718.23	9
718.56	12
718.88	10
719.2	10
719.52	8
719.85	7
720.17	8
720.49	9
720.81	6
721.13	7
721.46	6
721.78	9
722.1	10
722.42	11
722.74	10
723.07	15
723.39	7
723.71	11
724.03	6
724.35	7
724.68	7
725	8
725.32	10
725.64	9
725.96	11
726.28	5
726.6	7
726.93	10
727.25	9
727.57	8
727.89	9
728.21	12
728.53	10
728.85	10
729.17	11
729.49	6
729.82	12
730.14	12
730.46	9
730.78	8
731.1	10
731.42	9
731.74	9
732.06	8
732.38	9
732.7	5
733.02	10
733.34	13
733.66	11
733.98	9
734.3	10
734.62	12
734.94	11
735.26	9
735.58	9
735.9	7
736.22	8
736.54	9
736.86	10
737.18	6
737.5	7
737.82	14
738.14	9
738.46	10
738.78	12
739.1	6
739.42	8
739.74	8
740.06	7
740.38	7
740.7	5
741.02	10
741.34	11
741.66	12
741.97	7
742.29	12
742.61	10
742.93	9
743.25	6
743.57	10
743.89	12
744.21	9
744.53	10
744.84	13
745.16	4
745.48	10
745.8	12
746.12	15
746.44	12
746.76	7
747.07	12
747.39	8
747.71	14
748.03	6
748.35	9
748.67	7
748.98	9
749.3	11
749.62	8
749.94	12
750.25	12
750.57	7
750.89	6
751.21	10
751.53	11
751.84	10
752.16	10
752.48	5
752.8	8
753.11	7
753.43	11
753.75	10
754.07	7
754.38	13
754.7	13
755.02	10
755.33	9
755.65	7
755.97	11
756.29	17
756.6	10
756.92	7
757.24	9
757.55	4
757.87	9
758.19	8
758.5	13
758.82	11
759.14	7
759.45	13
759.77	11
760.09	8
760.4	5
760.72	6
761.03	11
761.35	11
761.67	8
761.98	8
762.3	7
762.61	7
762.93	8
763.25	10
763.56	12
763.88	10
764.19	11
764.51	8
764.83	9
765.14	8
765.46	7
765.77	6
766.09	8
766.4	11
766.72	9
767.03	7
767.35	4
767.66	10
767.98	6
768.29	11
768.61	9
768.92	6
769.24	8
769.55	8
769.87	14
770.18	11
770.5	13
770.81	8
771.13	10
771.44	7
771.76	9
772.07	8
772.39	9
772.7	9
773.02	11
773.33	11
773.64	11
773.96	8
774.27	10
774.59	9
774.9	7
775.22	5
775.53	5
775.84	8
776.16	9
776.47	7
776.79	14
777.1	10
777.41	12
777.73	9
778.04	3
778.35	5
778.67	10
778.98	12
779.29	11
779.61	14
779.92	8
780.23	7
780.55	9
780.86	9
781.17	10
781.49	8
781.8	16
782.11	8
782.43	8
782.74	8
783.05	12
783.36	11
783.68	10
783.99	12
784.3	8
784.62	9
784.93	6
785.24	7
785.55	11
785.87	11
786.18	11
786.49	10
786.8	14
787.11	9
787.43	10
787.74	9
788.05	9
788.36	8
788.67	11
788.99	12
789.3	12
789.61	9
789.92	9
790.23	5
790.55	6
790.86	10
791.17	11
791.48	10
791.79	9
792.1	8
792.41	6
792.73	9
793.04	9
793.35	10
793.66	8
793.97	11
794.28	13
794.59	8
794.9	8
795.21	8
795.53	6
795.84	10
796.15	10
796.46	6
796.77	7
797.08	12
797.39	10
797.7	10
798.01	10
798.32	10
798.63	10
798.94	9
799.25	13
799.56	12
799.87	14
800.18	9
800.49	12
800.8	12
801.11	11
801.42	8
801.73	9
802.04	8
802.35	7
802.66	9
802.97	5
803.28	9
803.59	7
803.9	7
804.21	9
804.52	12
804.83	12
805.14	8
805.45	6
805.76	11
806.07	9
806.38	8
806.68	9
806.99	9
807.3	12
807.61	8
807.92	9
808.23	8
808.54	11
808.85	8
809.16	5
809.46	8
809.77	6
810.08	4
810.39	6
810.7	9
811.01	12
811.32	12
811.62	11
811.93	10
812.24	12
812.55	8
812.86	11
813.16	8
813.47	11
813.78	8
814.09	11
814.4	12
814.7	10
815.01	8
815.32	9
815.63	8
815.93	9
816.24	13
816.55	11
816.86	6
817.16	6
817.47	8
817.78	6
818.09	10
818.39	9
818.7	9
819.01	9
819.31	6
819.62	9
819.93	5
820.24	7
820.54	11
820.85	7
821.16	8
821.46	11
821.77	14
822.08	10
822.38	8
822.69	9
822.99	6
823.3	8
823.61	12
823.91	9
824.22	5
824.53	9
824.83	9
825.14	10
825.44	9
825.75	8
826.06	11
826.36	10
826.67	11
826.97	10
827.28	9
827.59	11
827.89	12
828.2	11
828.5	12
828.81	6
829.11	4
829.42	5
829.72	8
830.03	11
830.33	11
830.64	9
830.94	11
831.25	8
831.55	10
831.86	10
832.16	7
832.47	12
832.77	5
833.08	6
833.38	7
833.69	12
833.99	13
834.3	12
834.6	12
834.91	10
835.21	10
835.51	8
835.82	9
836.12	4
836.43	9
836.73	11
837.04	8
837.34	5
837.64	8
837.95	9
838.25	6
838.56	9
838.86	7
839.16	6
839.47	3
839.77	11
840.07	11
840.38	7
840.68	6
840.98	10
841.29	11
841.59	13
841.89	9
842.2	11
842.5	11
842.8	11
843.11	9
843.41	9
843.71	7
844.02	9
844.32	8
844.62	11
844.92	9
845.23	11
845.53	10
845.83	11
846.13	13
846.44	7
846.74	5
847.04	6
847.34	5
847.65	8
847.95	7
848.25	8
848.55	6
848.85	6
849.16	12
849.46	9
849.76	4
850.06	7
850.36	9
850.67	14
850.97	10
