x	Yellow
592.79	837
593.13	828
593.47	801
593.81	791
594.15	776
594.49	755
594.83	748
595.16	732
595.5	715
595.84	711
596.18	681
596.52	676
596.86	676
597.2	641
597.53	642
597.87	623
598.21	602
598.55	626
598.89	587
599.23	584
599.57	562
599.9	561
600.24	548
600.58	534
600.92	529
601.26	527
601.59	500
601.93	503
602.27	503
602.61	478
602.95	474
603.28	461
603.62	442
603.96	433
604.3	448
604.63	435
604.97	417
605.31	409
605.65	399
605.98	384
606.32	394
606.66	386
607	368
607.33	366
607.67	354
608.01	350
608.35	348
608.68	344
609.02	319
609.36	327
609.69	313
610.03	312
610.37	307
610.71	293
611.04	290
611.38	296
611.72	281
612.05	283
612.39	269
612.73	277
613.06	260
613.4	252
613.74	256
614.07	242
614.41	243
614.75	242
615.08	232
615.42	226
615.75	223
616.09	228
616.43	222
616.76	210
617.1	201
617.44	212
617.77	193
618.11	197
618.44	190
618.78	179
619.11	188
619.45	183
619.79	187
620.12	178
620.46	174
620.79	181
621.13	172
621.46	159
621.8	159
622.14	164
622.47	150
622.81	159
623.14	153
623.48	146
623.81	148
624.15	145
624.48	140
624.82	128
625.15	138
625.49	130
625.82	129
626.16	129
626.49	121
626.83	121
627.16	130
627.5	116
627.83	118
628.17	109
628.5	111
628.84	114
629.17	108
629.51	108
629.84	114
630.17	97
630.51	102
630.84	95
631.18	94
631.51	95
631.85	91
632.18	96
632.52	91
632.85	89
633.18	90
633.52	84
633.85	86
634.19	82
634.52	85
634.85	88
635.19	77
635.52	79
635.85	74
636.19	80
636.52	76
636.86	70
637.19	73
637.52	70
637.86	66
638.19	74
638.52	72
638.86	70
639.19	63
639.52	60
639.86	61
640.19	63
640.52	64
640.86	62
641.19	58
641.52	60
641.85	62
642.19	58
642.52	54
642.85	54
643.19	55
643.52	57
643.85	62
644.18	56
644.52	59
644.85	50
645.18	45
645.51	56
645.85	51
646.18	47
646.51	50
646.84	41
647.18	50
647.51	51
647.84	50
648.17	45
648.5	42
648.84	49
649.17	48
649.5	44
649.83	44
650.16	46
650.5	41
650.83	46
651.16	44
651.49	46
651.82	43
652.16	42
652.49	39
652.82	42
653.15	42
653.48	45
653.81	34
654.14	37
654.48	41
654.81	36
655.14	37
655.47	40
655.8	35
656.13	37
656.46	31
656.79	37
657.12	41
657.46	42
657.79	34
658.12	37
658.45	33
658.78	35
659.11	36
659.44	37
659.77	35
660.1	41
660.43	33
660.76	34
661.09	33
661.42	29
661.75	32
662.08	35
662.41	33
662.74	29
663.07	33
663.4	28
663.73	30
664.06	30
664.39	37
664.72	28
665.05	33
665.38	36
665.71	30
666.04	29
666.37	34
666.7	25
667.03	27
667.36	32
667.69	39
668.02	26
668.35	29
668.68	26
669.01	32
669.34	27
669.67	26
670	30
670.33	25
670.66	26
670.99	25
671.31	26
671.64	25
671.97	24
672.3	21
672.63	27
672.96	24
673.29	29
673.62	26
673.95	25
674.27	23
674.6	25
674.93	29
675.26	27
675.59	28
675.92	25
676.25	24
676.57	28
676.9	24
677.23	20
677.56	27
677.89	21
678.22	24
678.54	26
678.87	23
679.2	24
679.53	24
679.86	23
680.18	26
680.51	27
680.84	21
681.17	24
681.49	20
681.82	19
682.15	28
682.48	29
682.8	24
683.13	22
683.46	26
683.79	18
684.11	22
684.44	20
684.77	26
685.1	23
685.42	24
685.75	22
686.08	19
686.4	23
686.73	25
687.06	25
687.39	24
687.71	23
688.04	20
688.37	22
688.69	24
689.02	20
689.35	18
689.67	21
690	24
690.33	18
690.65	21
690.98	23
691.3	24
691.63	26
691.96	24
692.28	21
692.61	21
692.94	26
693.26	18
693.59	21
693.91	18
694.24	24
694.57	20
694.89	22
695.22	23
695.54	19
695.87	22
696.19	18
696.52	20
696.85	23
697.17	23
697.5	21
697.82	23
698.15	22
698.47	19
698.8	20
699.12	19
699.45	22
699.77	17
700.1	21
700.42	18
700.75	22
701.07	20
701.4	20
701.72	19
702.05	20
702.37	13
702.7	16
703.02	17
703.35	9
703.67	14
704	21
704.32	17
704.65	15
704.97	13
705.3	15
705.62	20
705.94	18
706.27	19
706.59	17
706.92	20
707.24	17
707.56	19
707.89	16
708.21	12
708.54	19
708.86	14
709.18	19
709.51	18
709.83	16
710.16	19
710.48	23
710.8	24
711.13	13
711.45	15
711.77	13
712.1	16
712.42	14
712.74	13
713.07	16
713.39	20
713.71	17
714.04	14
714.36	17
714.68	16
715.01	15
715.33	15
715.65	16
715.97	13
716.3	9
716.62	16
716.94	17
717.27	17
717.59	15
717.91	16
718.23	18
718.56	14
718.88	16
719.2	17
719.52	19
719.85	12
720.17	14
720.49	15
720.81	15
721.13	12
721.46	13
721.78	15
722.1	11
722.42	14
722.74	20
723.07	14
723.39	12
723.71	8
724.03	14
724.35	12
724.68	12
725	12
725.32	14
725.64	18
725.96	13
726.28	19
726.6	17
726.93	10
727.25	9
727.57	9
727.89	12
728.21	15
728.53	16
728.85	14
729.17	12
729.49	12
729.82	16
730.14	15
730.46	15
730.78	13
731.1	12
731.42	9
731.74	9
732.06	10
732.38	13
732.7	16
733.02	15
733.34	14
733.66	8
733.98	11
734.3	16
734.62	14
734.94	13
735.26	11
735.58	11
735.9	11
736.22	14
736.54	11
736.86	15
737.18	10
737.5	13
737.82	12
738.14	15
738.46	13
738.78	14
739.1	8
739.42	12
739.74	16
740.06	12
740.38	10
740.7	12
741.02	10
741.34	10
741.66	12
741.97	12
742.29	10
742.61	9
742.93	13
743.25	9
743.57	10
743.89	8
744.21	8
744.53	10
744.84	12
745.16	9
745.48	11
745.8	14
746.12	8
746.44	11
746.76	18
747.07	13
747.39	8
747.71	9
748.03	9
748.35	12
748.67	13
748.98	7
749.3	5
749.62	6
749.94	6
750.25	11
750.57	11
750.89	9
751.21	10
751.53	16
751.84	12
752.16	13
752.48	16
752.8	13
753.11	5
753.43	17
753.75	9
754.07	11
754.38	9
754.7	15
755.02	12
755.33	13
755.65	9
755.97	5
756.29	6
756.6	7
756.92	8
757.24	6
757.55	9
757.87	10
758.19	6
758.5	8
758.82	10
759.14	9
759.45	11
759.77	11
760.09	7
760.4	9
760.72	7
761.03	6
761.35	8
761.67	9
761.98	11
762.3	11
762.61	10
762.93	10
763.25	11
763.56	9
763.88	10
764.19	6
764.51	5
764.83	10
765.14	8
765.46	9
765.77	11
766.09	10
766.4	8
766.72	9
767.03	8
767.35	4
767.66	9
767.98	7
768.29	9
768.61	12
768.92	9
769.24	7
769.55	10
769.87	8
770.18	11
770.5	11
770.81	6
771.13	8
771.44	9
771.76	8
772.07	8
772.39	9
772.7	8
773.02	7
773.33	8
773.64	9
773.96	9
774.27	5
774.59	12
774.9	10
775.22	6
775.53	10
775.84	12
776.16	11
776.47	8
776.79	7
777.1	10
777.41	9
777.73	5
778.04	10
778.35	7
778.67	9
778.98	10
779.29	6
779.61	8
779.92	8
780.23	11
780.55	7
780.86	5
781.17	11
781.49	10
781.8	8
782.11	9
782.43	8
782.74	9
783.05	7
783.36	7
783.68	9
783.99	8
784.3	8
784.62	6
784.93	9
785.24	1
785.55	6
785.87	11
786.18	12
786.49	7
786.8	8
787.11	7
787.43	6
787.74	10
788.05	10
788.36	9
788.67	7
788.99	9
789.3	13
789.61	9
789.92	6
790.23	6
790.55	6
790.86	6
791.17	8
791.48	10
791.79	9
792.1	8
792.41	9
792.73	12
793.04	11
793.35	11
793.66	5
793.97	10
794.28	10
794.59	11
794.9	9
795.21	10
795.53	10
795.84	9
796.15	10
796.46	10
796.77	7
797.08	13
797.39	7
797.7	9
798.01	10
798.32	10
798.63	8
798.94	6
799.25	6
799.56	5
799.87	6
800.18	10
800.49	8
800.8	8
801.11	8
801.42	6
801.73	14
802.04	7
802.35	5
802.66	7
802.97	9
803.28	8
803.59	8
803.9	10
804.21	11
804.52	10
804.83	6
805.14	8
805.45	9
805.76	7
806.07	8
806.38	9
806.68	10
806.99	5
807.3	12
807.61	14
807.92	10
808.23	10
808.54	7
808.85	10
809.16	8
809.46	9
809.77	8
810.08	6
810.39	10
810.7	10
811.01	10
811.32	10
811.62	7
811.93	9
812.24	8
812.55	12
812.86	11
813.16	11
813.47	13
813.78	6
814.09	5
814.4	12
814.7	4
815.01	6
815.32	8
815.63	9
815.93	14
816.24	13
816.55	10
816.86	6
817.16	2
817.47	8
817.78	14
818.09	11
818.39	8
818.7	8
819.01	10
819.31	10
819.62	8
819.93	6
820.24	9
820.54	7
820.85	3
821.16	5
821.46	9
821.77	10
822.08	7
822.38	8
822.69	9
822.99	13
823.3	7
823.61	10
823.91	12
824.22	7
824.53	8
824.83	6
825.14	10
825.44	4
825.75	6
826.06	5
826.36	10
826.67	7
826.97	8
827.28	5
827.59	7
827.89	4
828.2	5
828.5	8
828.81	8
829.11	10
829.42	8
829.72	8
830.03	7
830.33	8
830.64	7
830.94	8
831.25	10
831.55	14
831.86	6
832.16	6
832.47	7
832.77	7
833.08	7
833.38	7
833.69	10
833.99	6
834.3	7
834.6	7
834.91	6
835.21	8
835.51	6
835.82	5
836.12	6
836.43	10
836.73	7
837.04	7
837.34	6
837.64	7
837.95	6
838.25	10
838.56	8
838.86	7
839.16	6
839.47	5
839.77	8
840.07	6
840.38	6
840.68	9
840.98	4
841.29	1
841.59	6
841.89	7
842.2	10
842.5	8
842.8	9
843.11	10
843.41	7
843.71	10
844.02	10
844.32	5
844.62	13
844.92	7
845.23	8
845.53	8
845.83	8
846.13	5
846.44	6
846.74	6
847.04	11
847.34	11
847.65	8
847.95	6
848.25	6
848.55	6
848.85	6
849.16	9
849.46	8
849.76	7
850.06	12
850.36	5
850.67	9
850.97	10
