x	Red
621.46	506
621.8	528
622.14	521
622.47	541
622.81	554
623.14	578
623.48	578
623.81	587
624.15	605
624.48	606
624.82	641
625.15	637
625.49	640
625.82	668
626.16	684
626.49	680
626.83	707
627.16	705
627.5	732
627.83	735
628.17	756
628.5	777
628.84	799
629.17	802
629.51	813
629.84	848
630.17	848
630.51	869
630.84	879
631.18	906
631.51	914
631.85	941
632.18	946
632.52	964
632.85	991
633.18	1007
633.52	1020
633.85	1035
634.19	1059
634.52	1074
634.85	1095
635.19	1099
635.52	1127
635.85	1130
636.19	1147
636.52	1163
636.86	1199
637.19	1233
637.52	1222
637.86	1265
638.19	1267
638.52	1315
638.86	1325
639.19	1363
639.52	1353
639.86	1372
640.19	1407
640.52	1425
640.86	1434
641.19	1475
641.52	1520
641.85	1496
642.19	1530
642.52	1557
642.85	1599
643.19	1606
643.52	1622
643.85	1639
644.18	1691
644.52	1696
644.85	1732
645.18	1743
645.51	1769
645.85	1778
646.18	1814
646.51	1831
646.84	1871
647.18	1893
647.51	1925
647.84	1943
648.17	1948
648.5	1984
648.84	2007
649.17	2038
649.5	2066
649.83	2081
650.16	2096
650.5	2145
650.83	2153
651.16	2172
651.49	2215
651.82	2237
652.16	2278
652.49	2289
652.82	2326
653.15	2351
653.48	2378
653.81	2413
654.14	2422
654.48	2447
654.81	2509
655.14	2499
655.47	2536
655.8	2534
656.13	2532
656.46	2580
656.79	2630
657.12	2639
657.46	2660
657.79	2676
658.12	2679
658.45	2729
658.78	2744
659.11	2758
659.44	2823
659.77	2832
660.1	2856
660.43	2874
660.76	2852
661.09	2922
661.42	2927
661.75	2978
662.08	2990
662.41	2990
662.74	3014
663.07	3022
663.4	3048
663.73	3061
664.06	3103
664.39	3124
664.72	3160
665.05	3134
665.38	3166
665.71	3199
666.04	3239
666.37	3215
666.7	3252
667.03	3288
667.36	3279
667.69	3300
668.02	3305
668.35	3332
668.68	3366
669.01	3378
669.34	3387
669.67	3424
670	3385
670.33	3432
670.66	3425
670.99	3471
671.31	3446
671.64	3478
671.97	3481
672.3	3533
672.63	3529
672.96	3502
673.29	3557
673.62	3573
673.95	3565
674.27	3547
674.6	3576
674.93	3581
675.26	3608
675.59	3595
675.92	3621
676.25	3624
676.57	3615
676.9	3630
677.23	3655
677.56	3638
677.89	3697
678.22	3651
678.54	3661
678.87	3677
679.2	3692
679.53	3690
679.86	3670
680.18	3664
680.51	3688
680.84	3683
681.17	3709
681.49	3676
681.82	3706
682.15	3711
682.48	3704
682.8	3708
683.13	3692
683.46	3724
683.79	3719
684.11	3680
684.44	3707
684.77	3703
685.1	3731
685.42	3709
685.75	3680
686.08	3681
686.4	3674
686.73	3663
687.06	3690
687.39	3666
687.71	3668
688.04	3643
688.37	3685
688.69	3654
689.02	3644
689.35	3621
689.67	3669
690	3639
690.33	3652
690.65	3616
690.98	3636
691.3	3590
691.63	3650
691.96	3602
692.28	3584
692.61	3575
692.94	3553
693.26	3584
693.59	3556
693.91	3543
694.24	3553
694.57	3524
694.89	3479
695.22	3497
695.54	3509
695.87	3489
696.19	3460
696.52	3421
696.85	3447
697.17	3450
697.5	3398
697.82	3376
698.15	3401
698.47	3361
698.8	3345
699.12	3334
699.45	3362
699.77	3308
700.1	3300
700.42	3279
700.75	3254
701.07	3254
701.4	3210
701.72	3227
702.05	3183
702.37	3174
702.7	3188
703.02	3168
703.35	3149
703.67	3119
704	3087
704.32	3090
704.65	3060
704.97	3088
705.3	3025
705.62	2970
705.94	2973
706.27	2982
706.59	2961
706.92	2963
707.24	2925
707.56	2899
707.89	2903
708.21	2883
708.54	2840
708.86	2839
709.18	2812
709.51	2785
709.83	2731
710.16	2760
710.48	2777
710.8	2710
711.13	2697
711.45	2667
711.77	2698
712.1	2636
712.42	2590
712.74	2624
713.07	2578
713.39	2587
713.71	2529
714.04	2561
714.36	2488
714.68	2469
715.01	2467
715.33	2444
715.65	2437
715.97	2412
716.3	2356
716.62	2360
716.94	2355
717.27	2322
717.59	2306
717.91	2307
718.23	2284
718.56	2229
718.88	2241
719.2	2208
719.52	2173
719.85	2180
720.17	2146
720.49	2155
720.81	2117
721.13	2081
721.46	2059
721.78	2045
722.1	2047
722.42	2031
722.74	1975
723.07	1983
723.39	1944
723.71	1953
724.03	1924
724.35	1882
724.68	1889
725	1875
725.32	1869
725.64	1803
725.96	1804
726.28	1795
726.6	1784
726.93	1748
727.25	1736
727.57	1713
727.89	1693
728.21	1675
728.53	1649
728.85	1639
729.17	1613
729.49	1621
729.82	1575
730.14	1584
730.46	1530
730.78	1529
731.1	1510
731.42	1497
731.74	1493
732.06	1464
732.38	1423
732.7	1427
733.02	1411
733.34	1403
733.66	1384
733.98	1384
734.3	1347
734.62	1340
734.94	1323
735.26	1306
735.58	1297
735.9	1272
736.22	1253
736.54	1250
736.86	1221
737.18	1230
737.5	1208
737.82	1185
738.14	1176
738.46	1156
738.78	1162
739.1	1137
739.42	1142
739.74	1100
740.06	1076
740.38	1059
740.7	1042
741.02	1058
741.34	1035
741.66	1017
741.97	1014
742.29	984
742.61	991
742.93	968
743.25	939
743.57	934
743.89	936
744.21	913
744.53	899
744.84	902
745.16	893
745.48	883
745.8	876
746.12	863
746.44	851
746.76	852
747.07	838
747.39	828
747.71	799
748.03	787
748.35	804
748.67	794
748.98	794
749.3	765
749.62	751
749.94	751
750.25	742
750.57	728
750.89	723
751.21	716
751.53	714
751.84	694
752.16	695
752.48	682
752.8	679
753.11	664
753.43	661
753.75	651
754.07	644
754.38	652
754.7	621
755.02	636
755.33	626
755.65	599
755.97	592
756.29	612
756.6	593
756.92	575
757.24	578
757.55	553
757.87	572
758.19	546
758.5	552
758.82	545
759.14	536
759.45	524
759.77	520
760.09	517
760.4	510
760.72	502
761.03	488
761.35	493
761.67	483
761.98	497
762.3	478
762.61	465
762.93	471
763.25	460
763.56	455
763.88	441
764.19	423
764.51	426
764.83	432
765.14	430
765.46	410
765.77	404
766.09	406
766.4	393
766.72	385
767.03	396
767.35	378
767.66	368
767.98	368
768.29	359
768.61	373
768.92	370
769.24	356
769.55	353
769.87	355
770.18	345
770.5	342
770.81	328
771.13	327
771.44	316
771.76	315
772.07	311
772.39	308
772.7	306
773.02	304
773.33	297
773.64	292
773.96	297
774.27	283
774.59	285
774.9	270
775.22	286
775.53	272
775.84	273
776.16	261
776.47	263
776.79	260
777.1	253
777.41	253
777.73	253
778.04	242
778.35	245
778.67	237
778.98	226
779.29	232
779.61	225
779.92	219
780.23	226
780.55	222
780.86	214
781.17	213
781.49	222
781.8	220
782.11	214
782.43	203
782.74	206
783.05	195
783.36	196
783.68	202
783.99	192
784.3	182
784.62	192
784.93	192
785.24	186
785.55	181
785.87	180
786.18	177
786.49	177
786.8	173
787.11	166
787.43	174
787.74	171
788.05	165
788.36	169
788.67	162
788.99	167
789.3	164
789.61	160
789.92	159
790.23	154
790.55	158
790.86	149
791.17	144
791.48	141
791.79	146
792.1	146
792.41	143
792.73	139
793.04	136
793.35	140
793.66	129
793.97	132
794.28	129
794.59	139
794.9	127
795.21	132
795.53	126
795.84	132
796.15	128
796.46	117
796.77	111
797.08	113
797.39	114
797.7	110
798.01	110
798.32	111
798.63	107
798.94	105
799.25	102
799.56	112
799.87	106
800.18	106
800.49	109
800.8	101
801.11	104
801.42	107
801.73	96
802.04	95
802.35	103
802.66	88
802.97	93
803.28	97
803.59	88
803.9	96
804.21	91
804.52	97
804.83	91
805.14	94
805.45	88
805.76	85
806.07	84
806.38	88
806.68	83
806.99	84
807.3	80
807.61	81
807.92	84
808.23	81
808.54	77
808.85	72
809.16	78
809.46	77
809.77	71
810.08	77
810.39	74
810.7	70
811.01	77
811.32	72
811.62	67
811.93	77
812.24	69
812.55	68
812.86	70
813.16	62
813.47	70
813.78	71
814.09	65
814.4	70
814.7	58
815.01	71
815.32	70
815.63	66
815.93	72
816.24	59
816.55	65
816.86	57
817.16	61
817.47	63
817.78	55
818.09	60
818.39	59
818.7	57
819.01	54
819.31	61
819.62	59
819.93	52
820.24	49
820.54	55
820.85	58
821.16	57
821.46	53
821.77	57
822.08	50
822.38	50
822.69	52
822.99	53
823.3	50
823.61	49
823.91	50
824.22	47
824.53	47
824.83	50
825.14	51
825.44	42
825.75	46
826.06	48
826.36	50
826.67	54
826.97	45
827.28	42
827.59	43
827.89	48
828.2	44
828.5	42
828.81	48
829.11	38
829.42	43
829.72	45
830.03	40
830.33	40
830.64	44
830.94	42
831.25	39
831.55	41
831.86	42
832.16	41
832.47	37
832.77	41
833.08	36
833.38	40
833.69	38
833.99	37
834.3	37
834.6	34
834.91	34
835.21	34
835.51	35
835.82	30
836.12	35
836.43	32
836.73	35
837.04	38
837.34	38
837.64	32
837.95	30
838.25	29
838.56	39
838.86	34
839.16	37
839.47	32
839.77	27
840.07	35
840.38	39
840.68	30
840.98	32
841.29	30
841.59	33
841.89	30
842.2	28
842.5	27
842.8	29
843.11	31
843.41	26
843.71	29
844.02	28
844.32	25
844.62	32
844.92	24
845.23	31
845.53	30
845.83	28
846.13	21
846.44	26
846.74	26
847.04	30
847.34	28
847.65	25
847.95	28
848.25	28
848.55	23
848.85	29
849.16	25
849.46	26
849.76	25
850.06	28
850.36	26
850.67	25
850.97	25
