x	BlueLED
519.65	214
520.00	205
520.35	204
520.69	204
521.04	185
521.39	189
521.74	181
522.08	181
522.43	178
522.78	170
523.12	163
523.47	167
523.82	158
524.17	152
524.51	142
524.86	144
525.21	140
525.55	144
525.90	132
526.25	120
526.59	121
526.94	119
527.29	120
527.63	114
527.98	115
528.33	113
528.67	108
529.02	107
529.37	96
529.71	100
530.06	97
530.41	92
530.75	93
531.10	92
531.45	86
531.79	87
532.14	76
532.48	83
532.83	75
533.18	69
533.52	75
533.87	74
534.21	74
534.56	68
534.91	67
535.25	62
535.60	58
535.94	65
536.29	57
536.64	60
536.98	53
537.33	54
537.67	53
538.02	44
538.36	48
538.71	48
539.05	53
539.40	49
539.74	53
540.09	43
540.44	45
540.78	42
541.13	47
541.47	48
541.82	46
542.16	41
542.51	40
542.85	43
543.20	34
543.54	43
543.89	40
544.23	38
544.58	37
544.92	39
545.26	40
545.61	35
545.95	36
546.30	36
546.64	26
546.99	27
547.33	33
547.68	32
548.02	29
548.37	31
548.71	31
549.05	28
549.40	31
549.74	32
550.09	26
550.43	24
550.77	27
551.12	28
551.46	30
551.81	23
552.15	24
552.49	22
552.84	22
553.18	28
553.53	26
553.87	24
554.21	22
554.56	21
554.90	21
555.24	20
555.59	18
555.93	15
556.27	20
556.62	24
556.96	19
557.30	18
557.65	20
557.99	18
558.33	19
558.68	18
559.02	18
559.36	23
559.71	21
560.05	22
560.39	21
560.74	22
561.08	18
561.42	20
561.76	16
562.11	15
562.45	15
562.79	18
563.14	16
563.48	16
563.82	19
564.16	17
564.51	18
564.85	15
565.19	16
565.53	15
565.88	18
566.22	15
566.56	14
566.90	19
567.24	13
567.59	16
567.93	16
568.27	15
568.61	18
568.95	13
569.30	18
569.64	13
569.98	15
570.32	16
570.66	18
571.01	17
571.35	19
571.69	16
572.03	16
572.37	16
572.71	16
573.05	13
573.40	15
573.74	15
574.08	13
574.42	18
574.76	11
575.10	18
575.44	14
575.79	12
576.13	17
576.47	17
576.81	14
577.15	13
577.49	11
577.83	14
578.17	9
578.51	11
578.85	10
579.19	12
579.54	12
579.88	10
580.22	10
580.56	13
580.90	14
581.24	10
581.58	11
581.92	13
582.26	13
582.60	14
582.94	10
583.28	9
583.62	10
583.96	13
584.30	11
584.64	15
584.98	15
585.32	14
585.66	10
586.00	9
586.34	13
586.68	9
587.02	10
587.36	10
587.70	9
588.04	9
588.38	12
588.72	15
589.06	9
589.40	11
589.74	10
590.08	11
590.42	12
590.76	10
591.10	10
591.43	11
591.77	8
592.11	9
592.45	12
592.79	6
593.13	8
593.47	12
593.81	13
594.15	9
594.49	12
594.83	12
595.16	9
595.50	14
595.84	10
596.18	11
596.52	15
596.86	8
597.20	10
597.53	13
597.87	9
598.21	12
598.55	10
598.89	9
599.23	10
599.57	12
599.90	10
600.24	9
600.58	10
600.92	9
601.26	5
601.59	11
601.93	10
602.27	7
602.61	6
602.95	10
603.28	11
603.62	8
603.96	11
604.30	6
604.63	12
604.97	10
605.31	4
605.65	13
605.98	11
606.32	15
606.66	10
607.00	13
607.33	9
607.67	11
608.01	8
608.35	7
608.68	11
609.02	12
609.36	11
609.69	12
610.03	14
610.37	12
610.71	16
611.04	10
611.38	10
611.72	10
612.05	15
612.39	17
612.73	16
613.06	15
613.40	14
613.74	14
614.07	9
614.41	10
614.75	13
615.08	11
615.42	10
615.75	15
616.09	12
616.43	12
616.76	12
617.10	12
617.44	12
617.77	10
618.11	12
618.44	7
618.78	11
619.11	11
619.45	13
619.79	12
620.12	13
620.46	11
620.79	14
621.13	11
621.46	10
621.80	8
622.14	11
622.47	8
622.81	10
623.14	12
623.48	10
623.81	11
624.15	11
624.48	12
624.82	10
625.15	7
625.49	8
625.82	9
626.16	10
626.49	6
626.83	10
627.16	9
627.50	9
627.83	9
628.17	5
628.50	10
628.84	11
629.17	12
629.51	11
629.84	16
630.17	13
630.51	15
630.84	14
631.18	11
631.51	12
631.85	13
632.18	13
632.52	11
632.85	11
633.18	11
633.52	14
633.85	9
634.19	7
634.52	10
634.85	10
635.19	12
635.52	8
635.85	12
636.19	9
636.52	12
636.86	11
637.19	7
637.52	11
637.86	8
638.19	6
638.52	9
638.86	6
639.19	9
639.52	9
639.86	6
640.19	9
640.52	8
640.86	12
641.19	11
641.52	11
641.85	7
642.19	8
642.52	8
642.85	8
643.19	6
643.52	9
643.85	9
644.18	9
644.52	8
644.85	10
645.18	12
645.51	10
645.85	11
646.18	7
646.51	9
646.84	8
647.18	14
647.51	11
647.84	14
648.17	13
648.50	8
648.84	10
649.17	10
649.50	11
649.83	10
650.16	14
650.50	8
650.83	10
651.16	11
651.49	9
651.82	10
652.16	6
652.49	12
652.82	9
653.15	10
653.48	7
653.81	12
654.14	11
654.48	8
654.81	11
655.14	13
655.47	11
655.80	10
656.13	11
656.46	10
656.79	8
657.12	9
657.46	11
657.79	8
658.12	5
658.45	11
658.78	10
659.11	10
659.44	11
659.77	7
660.10	12
660.43	7
660.76	7
661.09	10
661.42	9
661.75	10
662.08	13
662.41	12
662.74	10
663.07	6
663.40	7
663.73	8
664.06	8
664.39	10
664.72	8
665.05	8
665.38	11
665.71	10
666.04	4
666.37	9
666.70	10
667.03	10
667.36	9
667.69	8
668.02	9
668.35	8
668.68	8
669.01	13
669.34	10
669.67	10
670.00	8
670.33	5
670.66	4
670.99	7
671.31	6
671.64	8
671.97	8
672.30	5
672.63	9
672.96	9
673.29	7
673.62	7
673.95	8
674.27	7
674.60	6
674.93	9
675.26	9
675.59	11
675.92	10
676.25	13
676.57	10
676.90	10
677.23	8
677.56	9
677.89	11
678.22	10
678.54	8
678.87	9
679.20	6
679.53	10
679.86	12
680.18	10
680.51	10
680.84	8
681.17	9
681.49	7
681.82	6
682.15	8
682.48	13
682.80	10
683.13	9
683.46	8
683.79	5
684.11	10
684.44	8
684.77	10
685.10	9
685.42	10
685.75	9
686.08	5
686.40	8
686.73	6
687.06	8
687.39	8
687.71	11
688.04	10
688.37	7
688.69	7
689.02	9
689.35	11
689.67	11
690.00	9
690.33	11
690.65	9
690.98	6
691.30	14
691.63	8
691.96	9
692.28	8
692.61	5
692.94	10
693.26	1
693.59	4
693.91	6
694.24	9
694.57	12
694.89	10
695.22	12
695.54	10
695.87	12
696.19	8
696.52	11
696.85	11
697.17	9
697.50	10
697.82	8
698.15	10
698.47	12
698.80	18
699.12	10
699.45	11
699.77	12
700.10	9
700.42	9
700.75	9
701.07	9
701.40	12
701.72	10
702.05	10
702.37	9
702.70	11
703.02	9
703.35	9
703.67	12
704.00	13
704.32	8
704.65	7
704.97	7
705.30	11
705.62	11
705.94	7
706.27	13
706.59	9
706.92	7
707.24	9
707.56	8
707.89	9
708.21	8
708.54	8
708.86	5
709.18	6
709.51	5
709.83	12
710.16	10
710.48	4
710.80	5
711.13	12
711.45	9
711.77	9
712.10	7
712.42	10
712.74	11
713.07	11
713.39	9
713.71	12
714.04	9
714.36	7
714.68	8
715.01	11
715.33	11
715.65	11
715.97	8
716.30	9
716.62	5
716.94	10
717.27	12
717.59	9
717.91	9
718.23	9
718.56	4
718.88	12
719.20	10
719.52	6
719.85	6
720.17	7
720.49	10
720.81	6
721.13	8
721.46	10
721.78	9
722.10	9
722.42	9
722.74	8
723.07	8
723.39	12
723.71	9
724.03	6
724.35	10
724.68	8
725.00	10
725.32	7
725.64	8
725.96	7
726.28	13
726.60	9
726.93	5
727.25	5
727.57	3
727.89	8
728.21	10
728.53	10
728.85	6
729.17	8
729.49	12
729.82	11
730.14	11
730.46	10
730.78	11
731.10	6
731.42	9
731.74	10
732.06	9
732.38	11
732.70	9
733.02	6
733.34	6
733.66	6
733.98	14
734.30	13
734.62	12
734.94	10
735.26	9
735.58	11
735.90	6
736.22	11
736.54	9
736.86	12
737.18	13
737.50	10
737.82	14
738.14	9
738.46	12
738.78	11
739.10	7
739.42	11
739.74	8
740.06	13
740.38	8
740.70	4
741.02	8
741.34	7
741.66	10
741.97	9
742.29	8
742.61	10
742.93	10
743.25	13
743.57	10
743.89	7
744.21	12
744.53	12
744.84	13
745.16	12
745.48	15
745.80	11
746.12	11
746.44	11
746.76	11
747.07	14
747.39	10
747.71	14
748.03	14
748.35	10
748.67	8
748.98	12
749.30	8
749.62	5
749.94	10
750.25	12
750.57	12
750.89	9
751.21	11
751.53	12
751.84	9
752.16	8
752.48	7
752.80	10
753.11	10
753.43	11
753.75	8
754.07	11
754.38	10
754.70	8
755.02	8
755.33	8
755.65	9
755.97	10
756.29	10
756.60	9
756.92	7
757.24	10
757.55	5
757.87	12
758.19	13
758.50	11
758.82	9
759.14	9
759.45	10
759.77	6
760.09	8
760.40	6
760.72	10
761.03	9
761.35	10
761.67	10
761.98	13
762.30	6
762.61	8
762.93	10
763.25	12
763.56	2
763.88	9
764.19	13
764.51	11
764.83	11
765.14	10
765.46	9
765.77	7
766.09	6
766.40	11
766.72	8
767.03	12
767.35	11
767.66	9
767.98	9
768.29	10
768.61	7
768.92	7
769.24	8
769.55	8
769.87	12
770.18	12
770.50	11
770.81	9
771.13	7
771.44	9
771.76	10
772.07	12
772.39	9
772.70	11
773.02	6
773.33	10
773.64	7
773.96	6
774.27	7
774.59	5
774.90	7
775.22	9
775.53	10
775.84	11
776.16	8
776.47	10
776.79	10
777.10	8
777.41	11
777.73	4
778.04	8
778.35	10
778.67	11
778.98	8
779.29	12
779.61	10
779.92	9
780.23	5
780.55	8
780.86	7
781.17	7
781.49	9
781.80	7
782.11	10
782.43	8
782.74	11
783.05	7
783.36	6
783.68	6
783.99	11
784.30	15
784.62	9
784.93	6
785.24	6
785.55	9
785.87	10
786.18	8
786.49	8
786.80	4
787.11	8
787.43	6
787.74	9
788.05	8
788.36	8
788.67	9
788.99	6
789.30	7
789.61	10
789.92	12
790.23	9
790.55	10
790.86	9
791.17	10
791.48	12
791.79	9
792.10	13
792.41	8
792.73	9
793.04	10
793.35	10
793.66	10
793.97	6
794.28	7
794.59	7
794.90	5
795.21	9
795.53	6
795.84	11
796.15	8
796.46	6
796.77	8
797.08	9
797.39	11
797.70	10
798.01	13
798.32	8
798.63	10
798.94	11
799.25	13
799.56	11
799.87	12
800.18	9
800.49	16
800.80	8
801.11	12
801.42	7
801.73	8
802.04	8
802.35	7
802.66	10
802.97	7
803.28	11
803.59	10
803.90	8
804.21	11
804.52	8
804.83	12
805.14	14
805.45	9
805.76	10
806.07	11
806.38	10
806.68	15
806.99	6
807.30	13
807.61	9
807.92	9
808.23	10
808.54	11
808.85	9
809.16	12
809.46	10
809.77	14
810.08	9
810.39	7
810.70	7
811.01	5
811.32	7
811.62	9
811.93	10
812.24	14
812.55	12
812.86	5
813.16	9
813.47	8
813.78	10
814.09	6
814.40	9
814.70	10
815.01	9
815.32	12
815.63	6
815.93	7
816.24	8
816.55	8
816.86	6
817.16	9
817.47	12
817.78	8
818.09	11
818.39	9
818.70	11
819.01	12
819.31	12
819.62	8
819.93	10
820.24	5
820.54	11
820.85	6
821.16	8
821.46	11
821.77	10
822.08	10
822.38	13
822.69	8
822.99	10
823.30	6
823.61	6
823.91	11
824.22	9
824.53	12
824.83	9
825.14	10
825.44	9
825.75	13
826.06	9
826.36	6
826.67	10
826.97	8
827.28	4
827.59	7
827.89	8
828.20	8
828.50	10
828.81	8
829.11	6
829.42	5
829.72	6
830.03	8
830.33	13
830.64	12
830.94	10
831.25	9
831.55	11
831.86	6
832.16	5
832.47	5
832.77	10
833.08	13
833.38	7
833.69	4
833.99	9
834.30	7
834.60	11
834.91	12
835.21	10
835.51	10
835.82	8
836.12	11
836.43	9
836.73	9
837.04	10
837.34	10
837.64	8
837.95	12
838.25	11
838.56	12
838.86	10
839.16	9
839.47	7
839.77	8
840.07	11
840.38	12
840.68	9
840.98	13
841.29	10
841.59	10
841.89	7
842.20	2
842.50	6
842.80	5
843.11	7
843.41	8
843.71	5
844.02	8
844.32	8
844.62	13
844.92	10
845.23	8
845.53	11
845.83	12
846.13	8
846.44	8
846.74	13
847.04	8
847.34	10
847.65	9
847.95	7
848.25	6
848.55	12
848.85	10
849.16	7
849.46	11
849.76	7
850.06	10
850.36	6
850.67	7
850.97	10
