MICROX 8 v1.1 (© 10/99 by PreSens)	10/24/2000	1:41:51 PM						
7:12:29 PM 2:09:49 PM	35.22	2113	0	84.6	39.77	2666	0	34.1
7:16:30 PM 2:09:51 PM	35.37	2112	0	83	40	2672	0	32.2
7:20:30 PM 2:09:53 PM	35.27	2113	0	84.1	40.24	2675	0	30.3
7:24:31 PM 2:09:55 PM	35.4	2119	0	82.6	40.19	2686	0	30.6
7:28:32 PM 2:09:57 PM	35.58	2118	0	80.5	40.25	2692	0	30.2
7:32:33 PM 2:09:59 PM	35.47	2118	0	81.8	40.35	2693	0	29.4
7:36:34 PM 2:10:01 PM	35.34	2115	0	83.2	40.71	2704	0	26.5
7:40:35 PM 2:10:03 PM	35.22	2115	0	84.7	40.67	2708	0	26.9
7:44:36 PM 2:10:05 PM	35.29	2112	0	83.9	40.78	2716	0	25.9
7:48:37 PM 2:10:07 PM	35.35	2117	0	83.1	41.06	2723	0	23.7
7:52:38 PM 2:10:09 PM	35.28	2115	0	84	41.16	2726	1	23
7:56:39 PM 2:10:11 PM	35.24	2113	2	84.4	41.1	2729	2	23.4
8:00:40 PM 2:10:13 PM	35.33	2107	2	83.3	41.3	2733	2	21.9
8:04:41 PM 2:10:15 PM	35.3	2112	2	83.8	41.44	2739	2	20.9
8:08:42 PM 2:10:17 PM	35.34	2108	0	83.3	41.59	2751	0	19.8
8:12:43 PM 2:10:19 PM	35.35	2112	0	83.2	41.63	2753	0	19.5
8:16:44 PM 2:10:21 PM	35.53	2115	0	81.1	41.95	2764	0	17.1
8:20:45 PM 2:10:23 PM	35.44	2116	0	82.2	41.87	2758	0	17.6
8:24:45 PM 2:10:25 PM	35.62	2117	0	80.1	42.02	2769	0	16.5
8:28:46 PM 2:10:27 PM	35.31	2114	0	83.6	42.18	2776	0	15.4
8:32:47 PM 2:10:29 PM	35.65	2117	0	79.7	42.32	2775	0	14.4
8:36:48 PM 2:10:31 PM	35.36	2110	0	83	42.31	2778	0	14.5
8:40:49 PM 2:10:33 PM	35.56	2109	0	80.7	42.43	2785	0	13.6
8:44:50 PM 2:10:35 PM	35.59	2124	0	80.5	42.49	2787	0	13.2
8:48:51 PM 2:10:37 PM	35.48	2122	0	81.7	42.61	2790	0	12.3
8:52:52 PM 2:10:39 PM	35.6	2126	0	80.3	42.71	2795	0	11.6
8:56:53 PM 2:10:41 PM	35.75	2123	0	78.6	43.25	2816	0	7.9
9:00:54 PM 2:10:43 PM	35.77	2125	0	78.4	43.21	2812	0	8.1
9:04:55 PM 2:10:45 PM	35.7	2127	0	79.2	43.04	2807	0	9.3
9:08:56 PM 2:10:47 PM	35.69	2126	0	79.3	43.02	2803	0	9.4
9:12:57 PM 2:10:49 PM	35.68	2127	0	79.4	42.91	2801	0	10.2
9:16:58 PM 2:10:51 PM	35.8	2125	0	78	43.14	2804	0	8.6
9:20:59 PM 2:10:53 PM	35.46	2112	0	81.9	43.15	2807	0	8.5
9:25:00 PM 2:10:55 PM	35.81	2120	0	77.9	43.16	2805	0	8.4
9:29:00 PM 2:10:57 PM	35.87	2124	0	77.3	43.11	2809	0	8.8
9:33:01 PM 2:10:59 PM	35.67	2118	0	79.6	43.13	2807	0	8.7
9:37:02 PM 2:11:01 PM	35.79	2125	0	78.2	43.14	2803	0	8.6
9:41:03 PM 2:11:03 PM	35.87	2125	0	77.3	43.12	2804	0	8.7
9:45:04 PM 2:11:05 PM	36.04	2135	0	75.4	43.21	2809	0	8.1
9:49:05 PM 2:11:07 PM	35.89	2128	0	77.1	43.19	2803	0	8.3
9:53:06 PM 2:11:09 PM	35.75	2130	0	78.6	43.19	2810	0	8.2
9:57:07 PM 2:11:11 PM	35.96	2140	0	76.3	43.16	2800	0	8.4
10:01:08 PM 2:11:13 PM	36.01	2139	0	75.8	43.27	2805	0	7.7
10:05:09 PM 2:11:15 PM	35.87	2134	0	77.2	43.27	2803	0	7.7
10:09:10 PM 2:11:17 PM	35.95	2124	0	76.4	43.11	2798	0	8.8
10:13:11 PM 2:11:19 PM	35.62	2120	0	80.1	43.19	2800	0	8.2
10:17:12 PM 2:11:21 PM	35.83	2138	0	77.8	43.18	2804	0	8.3
10:21:13 PM 2:11:23 PM	36	2142	0	75.9	43.19	2811	0	8.2
10:25:14 PM 2:11:25 PM	36.15	2142	0	74.2	43.22	2805	0	8
10:29:15 PM 2:11:27 PM	36.02	2139	0	75.7	43.08	2810	0	9
10:33:16 PM 2:11:29 PM	36.17	2143	0	74	43.15	2804	0	8.5
10:37:16 PM 2:11:31 PM	36.16	2142	0	74.1	43.11	2807	0	8.8
10:41:18 PM 2:11:33 PM	36.05	2143	0	75.3	43.06	2810	0	9.1
10:45:18 PM 2:11:35 PM	36.1	2139	0	74.7	43.03	2811	0	9.4
10:49:19 PM 2:11:37 PM	36.03	2141	0	75.5	43.36	2806	0	7.1
10:53:20 PM 2:11:39 PM	36.1	2139	0	74.7	43.23	2805	0	7.9
10:57:21 PM 2:11:41 PM	36.04	2145	0	75.4	43.18	2803	0	8.3
11:01:22 PM 2:11:43 PM	36.22	2145	0	73.4	43.26	2803	0	7.7
11:05:23 PM 2:11:45 PM	36.21	2136	0	73.6	42.99	2812	0	9.7
11:09:24 PM 2:11:47 PM	36.12	2134	0	74.5	43.16	2804	0	8.4
11:13:25 PM 2:11:49 PM	36.11	2138	0	74.6	43.17	2798	0	8.4
11:17:26 PM 2:11:51 PM	36.17	2138	0	74	43.18	2800	0	8.3
11:21:27 PM 2:11:53 PM	36.12	2143	0	74.5	43.27	2797	0	7.7
11:25:28 PM 2:11:55 PM	36.18	2141	0	73.9	43.27	2801	0	7.7
11:29:29 PM 2:11:57 PM	36.19	2147	0	73.8	43.28	2810	0	7.6
11:33:30 PM 2:11:59 PM	36.15	2134	0	74.2	43.07	2802	0	9.1
11:37:31 PM 2:12:01 PM	36.07	2146	0	75.1	43.19	2802	0	8.2
11:41:31 PM 2:12:03 PM	36.22	2144	0	73.5	43.08	2798	0	9
11:45:33 PM 2:12:05 PM	36.33	2151	0	72.3	43.27	2804	0	7.7
11:49:33 PM 2:12:07 PM	36.46	2154	0	70.9	43.26	2799	0	7.8
11:53:34 PM 2:12:09 PM	36.38	2156	0	71.7	43.26	2797	0	7.8
11:57:35 PM 2:12:11 PM	36.37	2153	0	71.8	43.14	2805	0	8.6
12:01:36 AM 2:12:13 PM	36.48	2158	0	70.7	43.32	2796	0	7.3
12:05:37 AM 2:12:15 PM	36.53	2158	0	70.1	43.12	2798	0	8.7
12:09:38 AM 2:12:17 PM	36.57	2157	0	69.7	43.01	2803	0	9.5
12:13:39 AM 2:12:19 PM	36.39	2152	0	71.6	43.18	2796	0	8.3
12:17:40 AM 2:12:21 PM	36.61	2158	0	69.2	43.16	2797	0	8.4
12:21:41 AM 2:12:23 PM	36.64	2157	0	68.9	43.18	2792	0	8.3
12:25:42 AM 2:12:25 PM	36.61	2167	0	69.3	43.11	2796	0	8.8
12:29:43 AM 2:12:27 PM	36.63	2163	0	69.1	43.16	2796	0	8.4
12:33:44 AM 2:12:29 PM	36.84	2168	0	66.9	43.2	2794	0	8.2
12:37:45 AM 2:12:31 PM	36.73	2159	0	68	43.17	2795	0	8.4
12:41:46 AM 2:12:33 PM	36.55	2160	0	69.9	43.21	2798	0	8.1
12:45:46 AM 2:12:35 PM	36.56	2160	0	69.8	43.18	2794	0	8.3
12:49:48 AM 2:12:37 PM	36.43	2155	0	71.2	43.1	2794	0	8.9
12:53:48 AM 2:12:39 PM	36.72	2159	0	68.1	43.02	2796	0	9.4
12:57:49 AM 2:12:41 PM	36.62	2153	0	69.2	43.11	2794	0	8.8
1:01:50 AM 2:12:43 PM	36.59	2156	0	69.5	43.2	2786	0	8.2
1:05:51 AM 2:12:45 PM	36.46	2146	0	70.9	43.15	2787	0	8.5
1:09:52 AM 2:12:47 PM	36.58	2152	0	69.6	43.17	2794	0	8.4
1:13:53 AM 2:12:49 PM	36.86	2161	0	66.6	43.01	2790	0	9.5
1:17:54 AM 2:12:51 PM	36.53	2154	0	70.2	43.16	2786	0	8.4
1:21:55 AM 2:12:53 PM	36.72	2158	0	68.1	43.24	2788	0	7.9
1:25:56 AM 2:12:55 PM	36.58	2158	0	69.6	43.2	2787	0	8.2
1:29:57 AM 2:12:57 PM	36.64	2152	0	69	43.2	2785	0	8.1
1:33:58 AM 2:12:59 PM	36.7	2153	0	68.3	43.15	2783	0	8.5
1:37:59 AM 2:13:01 PM	36.67	2155	0	68.7	43.15	2785	0	8.5
1:42:00 AM 2:13:03 PM	36.7	2154	0	68.3	43.12	2781	0	8.8
1:46:01 AM 2:13:05 PM	36.86	2162	0	66.7	43.14	2789	0	8.6
1:50:01 AM 2:13:07 PM	36.64	2151	0	69	43.18	2785	0	8.3
1:54:03 AM 2:13:09 PM	36.83	2153	0	66.9	43.15	2781	0	8.5
1:58:03 AM 2:13:11 PM	36.82	2157	0	67.1	43.01	2783	0	9.5
2:02:04 AM 2:13:13 PM	36.87	2162	0	66.6	43.19	2783	0	8.2
2:06:05 AM 2:13:15 PM	36.78	2165	0	67.4	43.28	2786	0	7.6
2:10:06 AM 2:13:17 PM	36.85	2166	0	66.8	43.28	2780	0	7.6
2:14:07 AM 2:13:19 PM	37.1	2165	0	64.2	43.22	2783	0	8.1
2:18:08 AM 2:13:21 PM	37.06	2169	0	64.6	43.08	2781	0	9
2:22:09 AM 2:13:23 PM	36.87	2173	0	66.6	43.13	2781	0	8.7
2:26:10 AM 2:13:25 PM	36.78	2164	0	67.5	43.16	2782	0	8.4
2:30:11 AM 2:13:27 PM	36.78	2165	0	67.5	43.1	2782	0	8.9
2:34:12 AM 2:13:29 PM	37.01	2164	0	65	43.22	2781	0	8
2:38:13 AM 2:13:31 PM	36.97	2162	0	65.5	43.13	2777	0	8.7
2:42:14 AM 2:13:33 PM	37.15	2167	0	63.6	43.17	2780	0	8.4
2:46:15 AM 2:13:35 PM	37.02	2164	0	64.9	43.26	2778	0	7.8
2:50:16 AM 2:13:37 PM	37.17	2169	0	63.5	43.19	2779	0	8.3
2:54:16 AM 2:13:39 PM	36.91	2163	0	66.1	43.13	2780	0	8.7
2:58:18 AM 2:13:41 PM	37.02	2160	0	65	43.25	2782	0	7.8
3:02:19 AM 2:13:43 PM	36.94	2164	0	65.9	43.11	2777	0	8.8
3:06:19 AM 2:13:45 PM	36.99	2166	0	65.3	43.16	2781	0	8.4
3:10:20 AM 2:13:47 PM	37.41	2181	0	61	43.19	2779	0	8.2
3:14:21 AM 2:13:49 PM	37.25	2177	0	62.6	42.99	2780	0	9.7
3:18:22 AM 2:13:51 PM	36.93	2155	0	65.9	43.27	2782	0	7.7
3:22:23 AM 2:13:53 PM	36.78	2152	0	67.4	43.14	2778	0	8.6
3:26:24 AM 2:13:55 PM	37.04	2162	0	64.7	43.05	2780	0	9.2
3:30:25 AM 2:13:57 PM	37.06	2165	0	64.6	43.05	2781	0	9.2
3:34:26 AM 2:13:59 PM	37.35	2187	0	61.6	43.14	2777	0	8.6
3:38:27 AM 2:14:01 PM	37.03	2172	0	64.9	43.11	2782	0	8.8
3:42:28 AM 2:14:03 PM	37.16	2177	0	63.6	43.2	2777	0	8.2
3:46:29 AM 2:14:05 PM	37.1	2170	0	64.2	43.22	2783	0	8.1
3:50:30 AM 2:14:07 PM	37.18	2172	0	63.4	43.16	2779	0	8.5
3:54:31 AM 2:14:09 PM	37.38	2187	0	61.3	43.26	2780	0	7.8
3:58:32 AM 2:14:11 PM	37.19	2186	0	63.3	43.07	2780	0	9.1
4:02:33 AM 2:14:13 PM	37.12	2174	0	64	43.22	2782	0	8
4:06:34 AM 2:14:15 PM	37.73	2205	0	57.9	43.17	2781	0	8.4
4:10:34 AM 2:14:17 PM	37.31	2171	0	62.1	43.05	2785	0	9.2
4:14:35 AM 2:14:19 PM	37.4	2184	0	61.1	43.21	2782	0	8.1
4:18:36 AM 2:14:21 PM	37.37	2180	0	61.4	43.12	2780	0	8.7
4:22:37 AM 2:14:23 PM	37.09	2173	0	64.3	43.22	2779	0	8
4:26:38 AM 2:14:25 PM	37.26	2174	0	62.5	43.29	2784	0	7.5
4:30:39 AM 2:14:27 PM	37.2	2178	0	63.1	43.12	2779	0	8.7
4:34:40 AM 2:14:29 PM	37.22	2184	0	62.9	43.15	2785	0	8.5
4:38:41 AM 2:14:31 PM	37.17	2179	0	63.4	43.22	2780	0	8.1
4:42:42 AM 2:14:33 PM	37.62	2194	0	59	43.12	2779	0	8.7
4:46:43 AM 2:14:35 PM	37.98	2216	0	55.4	43.28	2780	0	7.6
4:50:44 AM 2:14:37 PM	37.95	2209	0	55.7	43.1	2782	0	8.9
4:54:45 AM 2:14:39 PM	37.66	2192	0	58.5	43.18	2785	0	8.3
4:58:46 AM 2:14:41 PM	37.56	2193	0	59.5	43.21	2781	0	8.1
5:02:47 AM 2:14:43 PM	37.46	2192	0	60.5	43.14	2787	0	8.6
5:06:48 AM 2:14:45 PM	37.57	2191	0	59.4	43.19	2780	0	8.3
5:10:49 AM 2:14:47 PM	37.47	2191	0	60.4	43.2	2783	0	8.2
5:14:49 AM 2:14:49 PM	37.32	2186	0	62	43.06	2779	0	9.1
5:18:50 AM 2:14:51 PM	37.58	2199	0	59.3	43.24	2779	0	7.9
5:22:52 AM 2:14:53 PM	37.55	2191	0	59.6	43.24	2782	0	7.9
5:26:52 AM 2:14:55 PM	37.58	2194	0	59.3	43.18	2777	0	8.3
5:30:53 AM 2:14:57 PM	37.49	2198	0	60.2	43.08	2778	0	9
5:34:54 AM 2:14:59 PM	37.64	2199	0	58.7	43.2	2777	0	8.2
5:38:55 AM 2:15:01 PM	37.49	2195	0	60.2	43.14	2780	0	8.6
5:42:56 AM 2:15:03 PM	37.56	2192	0	59.5	43.18	2777	0	8.3
5:46:57 AM 2:15:05 PM	37.43	2199	0	60.9	43.32	2775	0	7.4
5:50:58 AM 2:15:07 PM	37.52	2193	0	59.9	43.21	2780	0	8.1
5:54:59 AM 2:15:09 PM	37.65	2203	0	58.6	43.17	2781	0	8.4
5:59:00 AM 2:15:11 PM	37.85	2206	0	56.6	43.14	2777	0	8.6
6:03:01 AM 2:15:13 PM	37.57	2196	0	59.4	43.19	2779	0	8.2
6:07:02 AM 2:15:15 PM	37.7	2203	0	58.1	43.19	2782	0	8.2
6:11:03 AM 2:15:17 PM	37.66	2201	0	58.6	43.18	2784	0	8.3
6:15:04 AM 2:15:19 PM	37.7	2206	0	58.1	43.14	2778	0	8.6
6:19:04 AM 2:15:21 PM	37.69	2199	0	58.3	43.08	2779	0	9
6:23:05 AM 2:15:23 PM	37.71	2203	0	58	43.05	2780	0	9.2
6:27:07 AM 2:15:25 PM	37.71	2199	0	58	43.1	2780	0	8.9
6:31:07 AM 2:15:27 PM	37.84	2205	0	56.8	43.23	2782	0	7.9
6:35:08 AM 2:15:29 PM	37.89	2204	0	56.3	43.22	2777	0	8
6:39:09 AM 2:15:31 PM	37.77	2208	0	57.4	43.26	2775	0	7.7
6:43:10 AM 2:15:33 PM	37.87	2205	0	56.4	43.15	2773	0	8.5
6:47:11 AM 2:15:35 PM	37.79	2206	0	57.2	43.22	2776	0	8
6:51:12 AM 2:15:37 PM	37.76	2198	0	57.5	43.07	2778	0	9.1
6:55:13 AM 2:15:39 PM	38	2205	0	55.2	43.08	2777	0	9
6:59:14 AM 2:15:41 PM	37.94	2209	0	55.8	43.22	2780	0	8
7:03:15 AM 2:15:43 PM	37.74	2201	0	57.8	43.18	2786	0	8.3
7:07:16 AM 2:15:45 PM	38.08	2211	0	54.4	43.04	2783	0	9.3
7:11:17 AM 2:15:47 PM	37.77	2203	0	57.5	43.16	2773	0	8.4
7:15:18 AM 2:15:49 PM	37.98	2212	0	55.4	43.21	2781	0	8.1
7:19:19 AM 2:15:51 PM	38.02	2217	0	55	43.17	2785	0	8.4
7:23:19 AM 2:15:53 PM	38.16	2212	0	53.6	43.27	2776	0	7.7
7:27:20 AM 2:15:55 PM	38.05	2220	0	54.7	43.22	2775	0	8.1
7:31:22 AM 2:15:57 PM	37.95	2206	0	55.7	43.15	2777	0	8.5
7:35:22 AM 2:15:59 PM	37.78	2205	0	57.3	43.31	2782	0	7.4
7:39:23 AM 2:16:01 PM	37.99	2206	0	55.3	43.16	2782	0	8.4
7:43:24 AM 2:16:03 PM	38.25	2225	0	52.8	43.24	2783	0	7.9
7:47:25 AM 2:16:05 PM	38.09	2223	0	54.3	43.35	2788	0	7.1
7:51:26 AM 2:16:07 PM	37.88	2223	0	56.4	43.08	2788	0	9
7:55:27 AM 2:16:09 PM	38.29	2230	0	52.4	43.19	2791	0	8.2
7:59:28 AM 2:16:11 PM	38.07	2232	0	54.5	43.25	2799	0	7.8
8:03:29 AM 2:16:13 PM	38.28	2237	0	52.5	43.26	2804	0	7.8
8:07:30 AM 2:16:15 PM	38.15	2243	0	53.8	43.2	2805	0	8.2
8:11:31 AM 2:16:17 PM	38.33	2244	0	52.1	43.15	2809	0	8.5
8:15:32 AM 2:16:19 PM	38.15	2243	0	53.8	43.06	2809	1	9.2
8:19:33 AM 2:16:21 PM	38.17	2241	2	53.5	43.1	2817	2	8.8
8:23:34 AM 2:16:23 PM	38.32	2247	2	52.2	43.06	2825	2	9.1
8:27:35 AM 2:16:25 PM	38.24	2251	2	52.9	43.07	2817	2	9.1
8:31:35 AM 2:16:27 PM	38.44	2256	2	51	43.12	2828	2	8.7
8:35:37 AM 2:16:29 PM	38.15	2265	2	53.8	43.22	2834	2	8
8:39:37 AM 2:16:31 PM	38.2	2261	2	53.3	43.01	2830	2	9.5
8:43:38 AM 2:16:33 PM	38.21	2270	2	53.1	43.11	2826	2	8.8
8:47:39 AM 2:16:35 PM	38.41	2273	2	51.3	43.1	2833	2	8.9
8:51:40 AM 2:16:37 PM	38.36	2260	2	51.7	43.1	2831	2	8.9
8:55:41 AM 2:16:39 PM	38.36	2266	2	51.7	43.12	2830	2	8.7
8:59:42 AM 2:16:41 PM	38.16	2265	2	53.7	43.09	2830	2	8.9
9:03:43 AM 2:16:43 PM	38.41	2270	2	51.3	43.19	2828	2	8.2
9:07:44 AM 2:16:45 PM	38.14	2262	2	53.9	42.96	2825	2	9.8
9:11:45 AM 2:16:47 PM	38.28	2261	2	52.5	33.22	2311	4	101.2
9:15:46 AM 2:16:49 PM	38.16	2288	3	53.7	32.9	2288	4	105.3
9:19:47 AM 2:16:51 PM	38.3	2300	3	52.3	32.8	2291	4	106.7
9:23:48 AM 2:16:53 PM	38.24	2299	4	52.9	32.87	2289	4	105.7
9:27:49 AM 2:16:55 PM	38.24	2301	4	52.9	32.9	2287	5	105.4
9:31:50 AM 2:16:57 PM	38.37	2301	4	51.7	32.32	2200	2	113.1
9:35:50 AM 2:16:59 PM	38.38	2302	4	51.5	43.2	2776	1	8.2
9:39:52 AM 2:17:01 PM	38.34	2302	3	52	43.08	2785	1	9
9:43:52 AM 2:17:03 PM	38.29	2303	3	52.4	43.21	2790	1	8.1
9:47:53 AM 2:17:05 PM	38.45	2307	3	50.9	43.13	2786	1	8.7
9:51:54 AM 2:17:07 PM	38.49	2304	3	50.5	43.09	2794	1	9
9:55:55 AM 2:17:09 PM	38.46	2311	3	50.8	43.08	2790	1	9
9:59:56 AM 2:17:11 PM	38.53	2309	3	50.1	43.15	2796	1	8.5
10:03:57 AM 2:17:13 PM	38.44	2310	3	51	43.21	2791	1	8.1
10:07:58 AM 2:17:15 PM	38.94	2334	3	46.3	43.2	2793	1	8.2
10:11:59 AM 2:17:17 PM	38.81	2332	3	47.5	43.19	2788	1	8.2
10:16:00 AM 2:17:19 PM	38.8	2331	3	47.6	43.2	2797	1	8.2
10:20:01 AM 2:17:21 PM	38.77	2327	3	47.9	43.09	2792	1	8.9
10:24:02 AM 2:17:23 PM	38.81	2328	3	47.5	43.12	2796	2	8.8
10:28:03 AM 2:17:25 PM	38.77	2334	2	48	43.16	2794	2	8.5
10:32:04 AM 2:17:27 PM	38.94	2328	3	46.4	43.24	2797	2	7.9
10:36:05 AM 2:17:29 PM	38.96	2340	3	46.2	43.24	2799	2	7.9
10:40:05 AM 2:17:31 PM	38.64	2325	3	49.1	43.22	2791	2	8.1
10:44:07 AM 2:17:33 PM	39	2332	3	45.8	43.06	2797	2	9.2
10:48:07 AM 2:17:35 PM	39.16	2347	3	44.4	43.16	2798	2	8.4
10:52:08 AM 2:17:37 PM	39.17	2348	3	44.3	43.08	2800	2	9
10:56:09 AM 2:17:39 PM	38.97	2337	3	46.1	43.27	2800	2	7.7
11:00:10 AM 2:17:41 PM	38.82	2329	3	47.5	43.03	2799	2	9.4
11:04:11 AM 2:17:43 PM	38.77	2334	3	47.9	43.05	2799	2	9.2
11:08:12 AM 2:17:45 PM	38.92	2342	3	46.5	43.16	2799	2	8.5
11:12:13 AM 2:17:47 PM	39.12	2338	3	44.7	43.15	2798	2	8.5
11:16:14 AM 2:17:49 PM	39.15	2342	2	44.4	43.16	2798	2	8.4
11:20:15 AM 2:17:51 PM	39.29	2340	3	43.2	43.18	2794	2	8.3
