YEAR,DATE,SITE,GROUP,TREATMENT,ID,FLUX PLOT ID,VEGETATION TYPE,PLOT SIZE,SPECIES,FUNCTIONAL TYPE,TISSUE,LEAF AREA ,DRY BIOMASS kg ,DRY BIOMASS g,SLA ,%C,%N,CARBON,NITROGEN ,C:N RATIO,C/LA ,C/LM,N/LA ,N/LM ,comments,,
2005,14-Jun,Abisko,Stepps,Control,R2,n/a,Rocky,26cm circle,DIA LAP,E,ALL,0.00062,0.00011,0.112,5.541,44.892,0.849,0.050,0.001,52.907,81.023,448.920,1.531,8.485,,,
2005,14-Jun,Abisko,Stepps,Control,R2,n/a,Rocky,26cm circle,TOF PUS,F,ALL,0.00052,0.00005,0.052,9.866,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,R2,n/a,Rocky,26cm circle,UNK FORB,F,ALL,0.00036,0.00006,0.055,6.594,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,R2,n/a,Rocky,26cm circle,RHO LAP,E,ALL,0.00019,0.00003,0.034,5.556,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,R2,n/a,Rocky,26cm circle,UNK (EVERGREEN),E,ALL,0.00015,0.00003,0.029,5.204,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,R2,n/a,Rocky,26cm circle,CAS TET,E,ALL,0.00008,0.00002,0.020,4.080,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,R3,n/a,Rocky,26cm circle,AND POL,E,ALL,0.00124,0.00022,0.225,5.499,49.803,1.201,0.112,0.003,41.485,90.573,498.030,2.183,12.005,,,
2005,14-Jun,Abisko,Stepps,Control,R3,n/a,Rocky,26cm circle,VAC ULI,D,ALL,0.00104,0.00009,0.086,12.098,48.364,3.879,0.041,0.003,12.468,39.977,483.640,3.206,38.790,,,
2005,14-Jun,Abisko,Stepps,Control,R3,n/a,Rocky,26cm circle,CAS TET,E,ALL,0.00024,0.00006,0.055,4.314,0.000,0.000,,,,,,,,,,
2005,14-Jun,Abisko,Stepps,Control,R3,n/a,Rocky,26cm circle,EMP NIG,E,ALL,0.00011,0.00002,0.015,7.400,52.176,1.030,0.008,0.000,50.643,70.509,521.764,1.392,10.303,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,S2,n/a,Sedge,26cm circle,EMP NIG,E,ALL,0.01505,0.00319,3.190,4.717,52.706,1.086,1.681,0.035,48.532,111.740,527.060,2.302,10.860,,,
2005,14-Jun,Abisko,Stepps,Control,S2,n/a,Sedge,26cm circle,GRAMMINOID,GRM,ALL,0.00987,0.00119,1.185,8.332,44.545,1.896,0.528,0.022,23.494,53.459,445.450,2.275,18.960,,,
2005,14-Jun,Abisko,Stepps,Control,S2,n/a,Sedge,26cm circle,SAL PUL,D,ALL,0.00409,0.00113,1.134,3.605,46.838,4.846,0.531,0.055,9.665,129.925,468.380,13.442,48.460,,,
2005,14-Jun,Abisko,Stepps,Control,S2,n/a,Sedge,26cm circle,BET NAN,D,ALL,0.00260,0.00042,0.423,6.153,48.878,3.599,0.207,0.015,13.581,79.434,488.780,5.849,35.990,,,
2005,14-Jun,Abisko,Stepps,Control,S2,n/a,Sedge,26cm circle,AND POL,E,ALL,0.00254,0.00046,0.462,5.508,49.445,1.219,0.228,0.006,40.555,89.771,494.452,2.214,12.192,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,S2,n/a,Sedge,26cm circle,ARC ALP,D,ALL,0.00107,0.00010,0.099,10.756,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,S2,n/a,Sedge,26cm circle,VAC ULI,D,ALL,0.00063,0.00006,0.063,9.936,48.296,3.923,0.030,0.002,12.311,48.605,482.958,3.948,39.230,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,S2,n/a,Sedge,26cm circle,EQU SPP,P,ALL,0.00037,0.00005,0.049,7.546,38.827,3.131,0.019,0.002,12.401,51.456,388.270,4.149,31.310,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,EMP NIG,E,ALL,0.01223,0.00236,2.364,5.174,51.559,1.160,1.219,0.027,44.447,99.659,515.590,2.242,11.600,,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,CAR SPP,S,ALL,0.01108,0.00120,1.198,9.250,45.177,2.260,0.541,0.027,19.990,48.841,451.765,2.443,22.600,,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,AND POL,E,ALL,0.00640,0.00105,1.045,6.124,49.636,1.232,0.519,0.013,40.289,81.053,496.355,2.012,12.320,,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,GRAMMINOID,GRM,ALL,0.00391,0.00047,0.468,8.352,44.780,2.381,0.209,0.011,18.807,53.617,447.800,2.851,23.810,,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,BET NAN,D,ALL,0.00148,0.00156,1.562,0.948,49.315,3.813,0.770,0.060,12.934,520.344,493.154,40.230,38.128,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,UNK FORB,F,ALL,0.00103,0.00010,0.103,9.961,45.683,3.913,0.047,0.004,11.675,45.861,456.830,3.928,39.130,,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,AND POL,E,ALL,0.00098,0.00015,0.153,6.389,49.445,1.219,0.076,0.002,40.555,77.397,494.452,1.908,12.192,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,SAL PUL,D,ALL,0.00036,0.00003,0.029,12.552,46.993,5.061,0.014,0.001,9.285,37.439,469.925,4.032,50.610,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,EQU SPP,P,ALL,0.00032,0.00004,0.044,7.095,38.827,3.131,0.017,0.001,12.401,54.728,388.270,4.413,31.310,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,VAC ULI,D,ALL,0.00032,0.00002,0.022,14.189,48.296,3.923,0.011,0.001,12.311,34.037,482.958,2.765,39.230,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,S3,n/a,Sedge,26cm circle,PIN VUL,F,ALL,0.00025,0.00004,0.037,6.740,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,X1,n/a,Salix,26cm circle,EMP NIG,E,ALL,0.02830,0.00555,5.550,5.100,52.585,1.015,2.918,0.056,51.808,103.111,525.850,1.990,10.150,,,
2005,14-Jun,Abisko,Stepps,Control,X1,n/a,Salix,26cm circle,LYC SPP,P,ALL,0.00822,0.00114,1.145,7.184,46.006,1.041,0.527,0.012,44.194,64.035,460.060,1.449,10.410,,,
2005,14-Jun,Abisko,Stepps,Control,X1,n/a,Salix,26cm circle,VAC VIT,E,ALL,0.00763,0.00102,1.023,7.460,49.926,0.914,0.511,0.009,54.624,66.921,499.260,1.225,9.140,,,
2005,14-Jun,Abisko,Stepps,Control,X1,n/a,Salix,26cm circle,SAL PUL,D,ALL,0.00254,0.00073,0.729,3.488,46.993,5.061,0.342,0.037,9.285,134.729,469.925,14.510,50.610,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,X1,n/a,Salix,26cm circle,SAL REP,D,ALL,0.00090,0.00005,0.050,18.004,44.059,1.382,0.022,0.001,31.892,24.472,440.590,0.767,13.815,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,X1,n/a,Salix,26cm circle,UNK FORB,F,ALL,0.00054,0.00004,0.044,12.392,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,X1,n/a,Salix,26cm circle,GRAMMINOID,GRM,ALL,0.00049,0.00004,0.043,11.290,44.209,1.891,0.019,0.001,23.379,39.156,442.088,1.675,18.910,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,VAC VIT,E,ALL,0.01312,0.00199,1.994,6.583,50.330,0.970,1.003,0.019,51.887,76.458,503.300,1.474,9.700,,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,SAL REP,D,ALL,0.00485,0.00029,0.288,16.823,44.462,1.440,0.128,0.004,30.876,26.430,444.620,0.856,14.400,,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,EMP NIG,E,ALL,0.00456,0.00083,0.828,5.508,52.107,1.010,0.431,0.008,51.591,94.600,521.070,1.834,10.100,,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,LYC SPP,P,ALL,0.00436,0.00031,0.305,14.276,47.235,1.313,0.144,0.004,35.989,33.086,472.350,0.919,13.125,,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,GRAMMINOID,GRM,ALL,0.00241,0.00020,0.204,11.837,44.209,1.891,0.090,0.004,23.379,37.348,442.088,1.598,18.910,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,UNK FORB,F,ALL,0.00091,0.00007,0.066,13.912,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,VAC ULI,D,ALL,0.00044,0.00004,0.043,10.278,48.296,3.923,0.021,0.002,12.311,46.988,482.958,3.817,39.230,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,VAC MYR,D,ALL,0.00043,0.00010,0.101,4.218,0.000,0.000,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,GRASS,G ,ALL,0.00020,0.00002,0.019,10.649,44.209,1.891,0.008,0.000,23.379,41.516,442.088,1.776,18.910,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,X2,n/a,Salix,26cm circle,UNK FORB,F,ALL,0.00019,0.00003,0.027,6.966,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,14-Jun,Abisko,Stepps,Control,X3,n/a,Salix,26cm circle,VAC VIT,E,ALL,0.02249,0.00327,3.268,6.880,50.463,0.923,1.649,0.030,54.673,73.350,504.630,1.342,9.230,,,
2005,14-Jun,Abisko,Stepps,Control,X3,n/a,Salix,26cm circle,SAL PUL,D,ALL,0.00292,0.00078,0.784,3.731,47.147,5.276,0.369,0.041,8.936,126.365,471.470,14.141,52.760,,,
2005,14-Jun,Abisko,Stepps,Control,X3,n/a,Salix,26cm circle,SAL REP,D,ALL,0.00151,0.00009,0.087,17.439,43.656,1.323,0.038,0.001,32.998,25.033,436.560,0.759,13.230,,,
2005,14-Jun,Abisko,Stepps,Control,X3,n/a,Salix,26cm circle,GRASS,G,ALL,0.00131,0.00010,0.096,13.629,44.209,1.891,0.042,0.002,23.379,32.438,442.088,1.388,18.910,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,X3,n/a,Salix,26cm circle,UNK FORB,F,ALL,0.00104,0.00008,0.085,12.252,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,21-Jun,Abisko,Stepps,Control,S4,n/a,Sedge,26cm circle,AND POL,E,ALL,0.01325,0.00242,2.418,5.480,49.746,1.068,1.203,0.026,46.579,90.777,497.460,1.949,10.680,,,
2005,21-Jun,Abisko,Stepps,Control,S4,n/a,Sedge,26cm circle,GRAMMINOID,GRM,ALL,0.01212,0.00112,1.124,10.776,45.015,2.311,0.506,0.026,19.479,41.775,450.150,2.145,23.110,,,
2005,21-Jun,Abisko,Stepps,Control,S4,n/a,Sedge,26cm circle,VAC ULI,D,ALL,0.01073,0.00055,0.548,19.571,48.919,2.583,0.268,0.014,18.939,24.995,489.190,1.320,25.830,,,
2005,21-Jun,Abisko,Stepps,Control,S4,n/a,Sedge,26cm circle,BET NAN,D,ALL,0.00853,0.00156,1.562,5.462,49.323,2.752,0.770,0.043,17.923,90.298,493.230,5.038,27.520,,,
2005,21-Jun,Abisko,Stepps,Control,S4,n/a,Sedge,26cm circle,EMP NIG,E,ALL,0.00492,0.00103,1.032,4.766,51.847,1.023,0.535,0.011,50.672,108.786,518.473,2.147,10.232,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,21-Jun,Abisko,Stepps,Control,S4,n/a,Sedge,26cm circle,POL VIV,F,ALL,0.00191,0.00011,0.114,16.775,46.554,3.867,0.053,0.004,12.039,27.752,465.540,2.305,38.670,,,
2005,21-Jun,Abisko,Stepps,Control,S4,n/a,Sedge,26cm circle,SAL PUL,D,ALL,0.00090,0.00006,0.061,14.778,48.727,3.356,0.030,0.002,14.522,32.972,487.274,2.271,33.555,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,21-Jun,Abisko,Stepps,Control,S5,n/a,Sedge,26cm circle,EMP NIG,E,ALL,0.01441,0.00342,3.416,4.218,51.053,1.142,1.744,0.039,44.705,121.026,510.530,2.707,11.420,,,
2005,21-Jun,Abisko,Stepps,Control,S5,n/a,Sedge,26cm circle,BET NAN,D,ALL,0.01212,0.00081,0.809,14.987,49.743,3.346,0.402,0.027,14.866,33.191,497.430,2.233,33.460,,,
2005,21-Jun,Abisko,Stepps,Control,S5,n/a,Sedge,26cm circle,VAC ULI,D,ALL,0.00884,0.00052,0.520,17.005,48.992,2.561,0.255,0.013,19.130,28.810,489.920,1.506,25.610,,,
2005,21-Jun,Abisko,Stepps,Control,S5,n/a,Sedge,26cm circle,GRAMMINOID,GRM,ALL,0.00661,0.00047,0.471,14.027,44.551,2.230,0.210,0.011,19.978,31.761,445.510,1.590,22.300,,,
2005,21-Jun,Abisko,Stepps,Control,S5,n/a,Sedge,26cm circle,AND POL,E,ALL,0.00575,0.00106,1.058,5.432,49.545,1.119,0.524,0.012,44.276,91.208,495.450,2.060,11.190,,,
2005,21-Jun,Abisko,Stepps,Control,S5,n/a,Sedge,26cm circle,SAL PUL,D,ALL,0.00534,0.00037,0.373,14.327,48.727,3.356,0.182,0.013,14.522,34.011,487.274,2.342,33.555,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,21-Jun,Abisko,Stepps,Control,S5,n/a,Sedge,26cm circle,POL VIV,F,ALL,0.00199,0.00013,0.134,14.873,46.554,3.867,0.062,0.005,12.039,31.302,465.540,2.600,38.670,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,21-Jun,Abisko,Stepps,Control,S5,n/a,Sedge,26cm circle,ARC ALP,D,ALL,0.00036,0.00002,0.022,16.244,,,,,,,,,,No C or N estimate available: insignificant contribution to total C & N of harvest ,,
2005,21-Jun,Abisko,Stepps,Control,S5,n/a,Sedge,26cm circle,EQU SPP,P,ALL,0.00012,0.00001,0.007,17.465,41.275,3.798,0.003,0.000,10.868,23.633,412.750,2.175,37.980,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,21-Jun,Abisko,Stepps,Control,S6,n/a,Sedge,26cm circle,EMP NIG,E,ALL,0.01557,0.00363,3.630,4.289,51.521,0.931,1.870,0.034,55.339,120.129,515.210,2.171,9.310,,,
2005,21-Jun,Abisko,Stepps,Control,S6,n/a,Sedge,26cm circle,BET NAN,D,ALL,0.01257,0.00068,0.678,18.534,49.407,3.132,0.335,0.021,15.775,26.657,494.070,1.690,31.320,,,
2005,21-Jun,Abisko,Stepps,Control,S6,n/a,Sedge,26cm circle,CAR SPP,S,ALL,0.01058,0.00083,0.830,12.744,44.966,2.245,0.373,0.019,20.029,35.285,449.660,1.762,22.450,,,
2005,21-Jun,Abisko,Stepps,Control,S6,n/a,Sedge,26cm circle,VAC ULI,D,ALL,0.00921,0.00047,0.467,19.713,49.023,3.303,0.229,0.015,14.842,24.868,490.230,1.676,33.030,,,
2005,21-Jun,Abisko,Stepps,Control,S6,n/a,Sedge,26cm circle,SAL PUL,D,ALL,0.00247,0.00016,0.158,15.597,48.727,3.356,0.077,0.005,14.522,31.242,487.274,2.151,33.555,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,21-Jun,Abisko,Stepps,Control,S6,n/a,Sedge,26cm circle,AND POL,E,ALL,0.00240,0.00042,0.419,5.737,49.830,1.210,0.209,0.005,41.174,86.861,498.303,2.110,12.103,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,21-Jun,Abisko,Stepps,Control,S6,n/a,Sedge,26cm circle,POL VIV,F,ALL,0.00147,0.00010,0.101,14.554,46.554,3.867,0.047,0.004,12.039,31.986,465.540,2.657,38.670,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,21-Jun,Abisko,Stepps,Control,X4,n/a,Salix,26cm circle,SAL PUL,D,ALL,0.03159,0.00302,3.017,10.470,48.440,3.515,1.461,0.106,13.781,46.267,484.400,3.357,35.150,,,
2005,21-Jun,Abisko,Stepps,Control,X4,n/a,Salix,26cm circle,EMP NIG,E,ALL,0.02054,0.00480,4.796,4.283,51.733,0.954,2.481,0.046,54.227,120.792,517.330,2.228,9.540,,,
2005,21-Jun,Abisko,Stepps,Control,X4,n/a,Salix,26cm circle,BET NAN,D,ALL,0.01772,0.00118,1.184,14.972,48.655,3.739,0.576,0.044,13.013,32.496,486.550,2.497,37.390,,,
2005,21-Jun,Abisko,Stepps,Control,X4,n/a,Salix,26cm circle,VAC VIT,E,ALL,0.01021,0.00164,1.637,6.235,49.767,0.831,0.814,0.014,59.888,79.813,497.670,1.333,8.310,,,
2005,21-Jun,Abisko,Stepps,Control,X4,n/a,Salix,26cm circle,EQU SPP,P,ALL,0.00159,0.00010,0.099,16.150,41.275,3.798,0.041,0.004,10.868,25.557,412.750,2.352,37.980,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
